Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW,,
1,4.844443,0.1675137,1.650912,0.2261391,-0.4070199,-0.3660946,-0.4785186,0.6865345,,
1,4.855555,0.172472,1.648183,0.2294513,-0.4165232,-0.3554142,-0.4939839,0.6754029,,
1,4.866666,0.177362,1.64576,0.2328669,-0.4244387,-0.3453726,-0.5098991,0.6637564,,
1,4.877777,0.1813461,1.641082,0.2365091,0.4285254,0.332518,0.5290101,-0.6526454,,
1,4.888888,0.1847768,1.636157,0.2392781,0.4300166,0.3170319,0.5485263,-0.6431916,,
1,4.9,0.1857327,1.629603,0.2425205,-0.4291254,-0.2951661,-0.5673716,0.6378227,,
1,4.911111,0.1871136,1.624245,0.246018,-0.4294926,-0.2764735,-0.5841686,0.6307501,,
1,4.922222,0.1872011,1.618563,0.2494004,-0.4260415,-0.2588946,-0.6004903,0.6251989,,
1,4.933333,0.1870671,1.611855,0.2529669,-0.4136613,-0.2488994,-0.6168324,0.621652,,
1,4.944445,0.1868335,1.604036,0.2572665,-0.3931878,-0.2451334,-0.6284498,0.6247911,,
1,4.955556,0.1871203,1.59721,0.2610768,-0.3783231,-0.2353907,-0.6373678,0.6286694,,
1,4.966667,0.1855731,1.590105,0.264176,-0.3607402,-0.2232255,-0.6384482,0.6421999,,
1,4.977778,0.1832427,1.582708,0.2677965,-0.3455954,-0.2102229,-0.6344241,0.6586928,,
1,4.98889,0.1808888,1.57517,0.2716829,-0.3311639,-0.2005173,-0.63223,0.6711247,,
1,5.000001,0.1767775,1.567605,0.275323,0.3157152,0.1968991,0.6252306,-0.6860331,,
1,5.011112,0.1730763,1.559742,0.2790029,0.3001955,0.194245,0.6216155,-0.6969547,,
1,5.022223,0.1678662,1.552185,0.2820313,0.2834906,0.1978826,0.6168846,-0.7070565,,
1,5.033335,0.1624839,1.544116,0.284759,0.2646977,0.2020682,0.6133539,-0.7161707,,
1,5.044446,0.1571581,1.537122,0.2865688,-0.2446304,-0.2077304,-0.6095139,0.7249117,,
1,5.055557,0.1520407,1.529616,0.2886514,-0.2265718,-0.2132151,-0.6030164,0.7345582,,
1,5.066669,0.1460405,1.5224,0.2902396,-0.2133855,-0.2157269,-0.5925946,0.7461636,,
1,5.07778,0.1401142,1.515941,0.2911364,-0.2029467,-0.217247,-0.5802621,0.7582297,,
1,5.088891,0.1336524,1.50873,0.2922249,-0.1900087,-0.2197661,-0.5699705,0.7685917,,
1,5.100002,0.1277422,1.503129,0.2917125,-0.1773064,-0.2247992,-0.5632285,0.7751138,,
